"ID","Origin","Element","Status","Name","Requirement","Analysis","Atomic","Independent","Detailed","Consistent","Specific","Feasible","Prioritized","Unambiguous","Comprehensible","Testable","Unique","Identifiable","Traceable","Mapped","Conforming","Derived","Analyzed","Reviewed","Agreed"
"SoS.Proc.ReqEng.Qreq_1","SoS.Proc.ReqEng.Input_BABOK_1;SoS.Proc.ReqEng.Input_WiegersBeatty_11","System specification.Requirements specification.Requirement","Analyzed","Atomic","The requirement should be atomic meaning it describes only a single need, in order to support precise accounting of requirements & identification of needs.","Alternatives:
- Singular is too ambiguous, has multiple interpretations
- Self-contained is about no outside references
- Independent same as self-contained
- Decomposed would be a property of a requirements specification

Connections:
- Requirements count may be used to report implementation progress
- Requirements count may be used to estimate implementation efforts
- Requirements are improved through feedback
- Requirements are used to validate the system

Impact:
- Non-atomic requirements still make a complete requirements specification possible, but make implementation planning and implementation status reporting unreliable.","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","no","no"
"SoS.Proc.ReqEng.SthReq_2","SoS.Proc.ReqEng.Input_BABOK_1;SoS.Proc.ReqEng.Input_IREB_4","System specification.Requirements specification.Requirement","Analyzed","Independent","The requirement should be  independent meaning it is describe without reference to other requirements, in order to prevent inconsistencies between requirements and enhance understanding of the requirement.","Independently defined requirements do not require other requirements as context and therefore supports maintaining the consistency between requirements. Self-contained is a very similar property but includes aspects of completeness as well. This is covered by completeness .","yes","yes","yes","yes","yes","yes","yes, independent requirements help understanding and consistency but dependent requirements are still implementable.","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","no","no"
"SoS.Proc.ReqEng.SthReq_3","SoS.Proc.ReqEng.Input_BABOK_2","System specification.Requirements specification.Requirement","Analyzed","Detailed","The requirement shall be detailed enough, in order to enable effective development activities.","Detailed is distinct from complete. A appropriately detailed requirement supports the planning of development activities through a breakdown according to its level in the hierarchy of activities. A high level activity is not too detailed to hinder comprehension and and a low level activity is detailed enough to be executable. ","yes","yes","no, it is not completely clear what needs to be achieved for a detailed enough requirement.","yes","yes","yes","yes, detailed requirements are needed to be able to implement effectively.","yes, but detailed enough depends on the development teams knowledge","yes","no, this is not testable until after the implementation is concluded","yes","yes","yes","yes","yes","yes","yes","no","no"
"SoS.Proc.ReqEng.SthReq_4","SoS.Proc.ReqEng.Input_BABOK_2;SoS.Proc.ReqEng.Input_WiegersBeatty_1;SoS.Proc.ReqEng.Input_IREB_9",,"Withdrawn","Complete","The requirement should be complete, to ensure thorough development.",,,,,,,,,,,,,,,,,,,,
"SoS.Proc.ReqEng.SthReq_5","SoS.Proc.ReqEng.Input_BABOK_3;SoS.Proc.ReqEng.Input_WiegersBeatty_2;SoS.Proc.ReqEng.Input_WiegersBeatty_3;SoS.Proc.ReqEng.Input_IREB_1;SoS.Proc.ReqEng.Input_IREB_2",,"Withdrawn","Aligned","The requirement should be aligned with stakeholders expectations, to develop a system acceptable by the stakeholder.",,,,,,,,,,,,,,,,,,,,
"SoS.Proc.ReqEng.SthReq_6","SoS.Proc.ReqEng.Input_BABOK_3;SoS.Proc.ReqEng.Input_WiegersBeatty_9;SoS.Proc.ReqEng.Input_IREB_7","System specification.Requirements specification.Requirement","Analyzed","Consistent","The requirement shall be consistent with all other requirements, to avoid competing development activities and/or system disruption.","Another aspect of consistency is between the requirements, no requirement should contradict another requirement.","yes","yes","yes","yes","yes","yes","yes, inconsistent requirements have a risk of hindering the achievement of the system purpose.","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","no","no"
"SoS.Proc.ReqEng.SthReq_7","SoS.Proc.ReqEng.Input_BABOK_4;SoS.Proc.ReqEng.Input_WiegersBeatty_3;SoS.Proc.ReqEng.Input_IREB_2","System specification.Requirements specification.Requirement","Analyzed","Specific","The requirement shall be specific to only the system, to avoid unfeasible development efforts.","No requirement should be included in the requirements specification that is not actually intended or defined expectations outside of the scope of the system.","yes","yes","yes","yes","yes","yes","yes, requirements for elements of the system environment are not implementable.","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","no","no"
"SoS.Proc.ReqEng.SthReq_8","SoS.Proc.ReqEng.Input_BABOK_5","System specification.Requirements specification.Requirement","Analyzed","Feasible","The requirement shall be feasible with the available resources and constraints, to ensure sustainable and effective development.","Only feasible requirements ensure that development can be concluded successfully.","yes","yes","yes","yes","yes","yes","yes, not feasible requirements will not become reality.","yes","yes","no, feasibility is not testable until after its implemented","yes","yes","yes","yes","yes","yes","yes","no","no"
"SoS.Proc.ReqEng.SthReq_9","SoS.Proc.ReqEng.Input_BABOK_8;SoS.Proc.ReqEng.Input_WiegersBeatty_4","System specification.Requirements specification.Requirement","Analyzed","Prioritized","The requirement should be prioritized according to their importance, to support the expected order of releases and limit dependency risks.",,"yes","yes","yes","yes","yes","yes","yes, a priority helps with having control over dependencies and feature releases, if needed.","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","no","no"
"SoS.Proc.ReqEng.SthReq_10","SoS.Proc.ReqEng.Input_BABOK_6;SoS.Proc.ReqEng.Input_WiegersBeatty_2;SoS.Proc.ReqEng.Input_WiegersBeatty_5;SoS.Proc.ReqEng.Input_IREB_3","System specification.Requirements specification.Requirement","Analyzed","Unambiguous","The requirement shall be unambiguous, to prevent differing interpretations between stakeholder and development team.","Unambiguous refers not to the agreed requirements or common language between stakeholder and development team, instead it refers to the requirement only having one interpretation.","yes","yes","yes","yes","yes","yes","yes, ambiguous requirement have a risk of not meeting expectations.","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","no","no"
